train step=4600 loss=4.3066 avg_loss=5.4441 acc1=23.44
train step=4620 loss=4.1048 avg_loss=5.4382 acc1=21.88
train step=4640 loss=4.4638 avg_loss=5.4326 acc1=17.19
train step=4660 loss=4.1234 avg_loss=5.4265 acc1=21.88
train step=4680 loss=4.4643 avg_loss=5.4206 acc1=23.44
train step=4700 loss=4.0137 avg_loss=5.4147 acc1=31.25
train step=4720 loss=3.8799 avg_loss=5.4088 acc1=29.69
train step=4740 loss=3.8304 avg_loss=5.4025 acc1=23.44
train step=4760 loss=3.7665 avg_loss=5.3966 acc1=28.12
train step=4780 loss=4.0861 avg_loss=5.3907 acc1=17.19
train step=4800 loss=4.0215 avg_loss=5.3848 acc1=23.44
train step=4820 loss=4.0424 avg_loss=5.3787 acc1=12.50
train step=4840 loss=4.1424 avg_loss=5.3731 acc1=26.56
train step=4860 loss=4.2020 avg_loss=5.3674 acc1=23.44
train step=4880 loss=3.8346 avg_loss=5.3618 acc1=31.25
train step=4900 loss=4.0282 avg_loss=5.3558 acc1=31.25
train step=4920 loss=3.9999 avg_loss=5.3503 acc1=20.31
train step=4940 loss=4.0260 avg_loss=5.3447 acc1=25.00
train step=4960 loss=4.1126 avg_loss=5.3390 acc1=20.31
train step=4980 loss=4.2605 avg_loss=5.3336 acc1=20.31
train step=5000 loss=3.7523 avg_loss=5.3281 acc1=28.12
train step=5020 loss=3.9236 avg_loss=5.3225 acc1=25.00
train step=5040 loss=3.7253 avg_loss=5.3166 acc1=29.69
train step=5060 loss=4.2077 avg_loss=5.3112 acc1=18.75
train step=5080 loss=3.7663 avg_loss=5.3056 acc1=26.56
train step=5100 loss=3.7580 avg_loss=5.3000 acc1=32.81
train step=5120 loss=3.8563 avg_loss=5.2944 acc1=20.31
train step=5140 loss=3.5980 avg_loss=5.2886 acc1=28.12
train step=5160 loss=3.9239 avg_loss=5.2832 acc1=25.00
train step=5180 loss=4.0678 avg_loss=5.2777 acc1=25.00
train step=5200 loss=4.0180 avg_loss=5.2724 acc1=14.06
train step=5220 loss=3.7021 avg_loss=5.2669 acc1=28.12
train step=5240 loss=3.7940 avg_loss=5.2616 acc1=29.69
train step=5260 loss=3.5979 avg_loss=5.2555 acc1=31.25
train step=5280 loss=3.6364 avg_loss=5.2502 acc1=31.25
train step=5300 loss=3.3172 avg_loss=5.2450 acc1=29.69
train step=5320 loss=4.1252 avg_loss=5.2396 acc1=26.56
train step=5340 loss=3.7475 avg_loss=5.2340 acc1=23.44
train step=5360 loss=3.9892 avg_loss=5.2284 acc1=26.56
train step=5380 loss=3.9989 avg_loss=5.2226 acc1=29.69
train step=5400 loss=3.3600 avg_loss=5.2171 acc1=28.12
train step=5420 loss=3.6565 avg_loss=5.2119 acc1=28.12
train step=5440 loss=3.3939 avg_loss=5.2060 acc1=32.81
train step=5460 loss=3.5906 avg_loss=5.2006 acc1=28.12
train step=5480 loss=4.1616 avg_loss=5.1953 acc1=18.75
train step=5500 loss=3.7945 avg_loss=5.1899 acc1=21.88
train step=5520 loss=3.8021 avg_loss=5.1849 acc1=29.69
train step=5540 loss=3.4158 avg_loss=5.1796 acc1=26.56
train step=5560 loss=3.4309 avg_loss=5.1742 acc1=35.94
train step=5580 loss=3.6999 avg_loss=5.1690 acc1=20.31
train step=5600 loss=3.9610 avg_loss=5.1637 acc1=25.00
train step=5620 loss=3.5632 avg_loss=5.1586 acc1=32.81
train step=5640 loss=3.5984 avg_loss=5.1531 acc1=28.12
train step=5660 loss=3.8880 avg_loss=5.1479 acc1=25.00
train step=5680 loss=3.4014 avg_loss=5.1425 acc1=32.81
train step=5700 loss=3.3503 avg_loss=5.1372 acc1=29.69
train step=5720 loss=3.5624 avg_loss=5.1323 acc1=34.38
train step=5740 loss=3.7742 avg_loss=5.1272 acc1=21.88
train step=5760 loss=3.6492 avg_loss=5.1224 acc1=18.75
train step=5780 loss=3.3040 avg_loss=5.1172 acc1=35.94
train step=5800 loss=3.7983 avg_loss=5.1122 acc1=29.69
train step=5820 loss=3.7186 avg_loss=5.1069 acc1=21.88
train step=5840 loss=3.9438 avg_loss=5.1023 acc1=28.12
train step=5860 loss=4.0946 avg_loss=5.0974 acc1=23.44
train step=5880 loss=3.8012 avg_loss=5.0926 acc1=23.44
train step=5900 loss=3.7166 avg_loss=5.0875 acc1=29.69
train step=5920 loss=3.7926 avg_loss=5.0826 acc1=28.12
train step=5940 loss=3.4240 avg_loss=5.0777 acc1=37.50
train step=5960 loss=3.7852 avg_loss=5.0729 acc1=17.19
train step=5980 loss=4.0675 avg_loss=5.0681 acc1=29.69
train step=6000 loss=3.4903 avg_loss=5.0632 acc1=29.69
train step=6020 loss=3.8907 avg_loss=5.0584 acc1=21.88
train step=6040 loss=3.8572 avg_loss=5.0539 acc1=26.56
train step=6060 loss=3.3676 avg_loss=5.0490 acc1=35.94
train step=6080 loss=3.4863 avg_loss=5.0441 acc1=21.88
train step=6100 loss=3.0914 avg_loss=5.0391 acc1=35.94
train step=6120 loss=3.8135 avg_loss=5.0345 acc1=21.88
train step=6140 loss=3.4469 avg_loss=5.0299 acc1=28.12
train step=6160 loss=3.6318 avg_loss=5.0251 acc1=35.94
train step=6180 loss=3.0493 avg_loss=5.0204 acc1=39.06
train step=6200 loss=3.4335 avg_loss=5.0152 acc1=28.12
train step=6220 loss=3.4780 avg_loss=5.0102 acc1=37.50
train step=6240 loss=3.4683 avg_loss=5.0060 acc1=28.12
train step=6260 loss=3.3213 avg_loss=5.0014 acc1=34.38
train step=6280 loss=3.2299 avg_loss=4.9966 acc1=34.38
train step=6300 loss=3.4809 avg_loss=4.9920 acc1=37.50
train step=6320 loss=3.5753 avg_loss=4.9872 acc1=26.56
train step=6340 loss=3.6600 avg_loss=4.9827 acc1=26.56
train step=6360 loss=3.2531 avg_loss=4.9780 acc1=42.19
train step=6380 loss=3.5591 avg_loss=4.9731 acc1=34.38
train step=6400 loss=3.2759 avg_loss=4.9685 acc1=26.56
train step=6420 loss=3.4089 avg_loss=4.9640 acc1=31.25
train step=6440 loss=3.2787 avg_loss=4.9594 acc1=35.94
train step=6460 loss=3.4062 avg_loss=4.9548 acc1=35.94
train step=6480 loss=3.4876 avg_loss=4.9504 acc1=35.94
train step=6500 loss=3.5507 avg_loss=4.9460 acc1=25.00
train step=6520 loss=3.6658 avg_loss=4.9416 acc1=20.31
train step=6540 loss=3.2235 avg_loss=4.9371 acc1=37.50
train step=6560 loss=3.4038 avg_loss=4.9326 acc1=34.38
train step=6580 loss=3.5949 avg_loss=4.9279 acc1=39.06
train step=6600 loss=3.4058 avg_loss=4.9236 acc1=29.69
train step=6620 loss=3.4178 avg_loss=4.9192 acc1=28.12
train step=6640 loss=3.0045 avg_loss=4.9149 acc1=43.75
train step=6660 loss=3.8582 avg_loss=4.9108 acc1=23.44
train step=6680 loss=3.6244 avg_loss=4.9064 acc1=34.38
train step=6700 loss=4.0588 avg_loss=4.9020 acc1=18.75
train step=6720 loss=3.3477 avg_loss=4.8973 acc1=39.06
train step=6740 loss=3.4902 avg_loss=4.8930 acc1=35.94
train step=6760 loss=3.7190 avg_loss=4.8886 acc1=26.56
train step=6780 loss=3.6064 avg_loss=4.8842 acc1=37.50
train step=6800 loss=3.0627 avg_loss=4.8795 acc1=42.19
train step=6820 loss=3.2561 avg_loss=4.8751 acc1=32.81
train step=6840 loss=3.1398 avg_loss=4.8708 acc1=32.81
train step=6860 loss=3.2106 avg_loss=4.8665 acc1=39.06
train step=6880 loss=3.2130 avg_loss=4.8624 acc1=29.69
train step=6900 loss=3.6209 avg_loss=4.8583 acc1=37.50
train step=6920 loss=3.2268 avg_loss=4.8539 acc1=35.94
train step=6940 loss=3.1274 avg_loss=4.8497 acc1=31.25
train step=6960 loss=3.2560 avg_loss=4.8456 acc1=43.75
train step=6980 loss=3.8348 avg_loss=4.8414 acc1=23.44
train step=7000 loss=3.6749 avg_loss=4.8372 acc1=21.88
train step=7020 loss=3.2650 avg_loss=4.8329 acc1=37.50
train step=7040 loss=3.5454 avg_loss=4.8288 acc1=28.12
train step=7060 loss=3.6537 avg_loss=4.8248 acc1=26.56
train step=7080 loss=3.0124 avg_loss=4.8207 acc1=39.06
train step=7100 loss=3.4882 avg_loss=4.8167 acc1=32.81
train step=7120 loss=3.5050 avg_loss=4.8126 acc1=40.62
train step=7140 loss=3.6063 avg_loss=4.8086 acc1=34.38
train step=7160 loss=3.3763 avg_loss=4.8046 acc1=29.69
train step=7180 loss=3.4787 avg_loss=4.8002 acc1=31.25
train step=7200 loss=3.1964 avg_loss=4.7962 acc1=42.19
train step=7220 loss=3.3601 avg_loss=4.7921 acc1=32.81
train step=7240 loss=3.6407 avg_loss=4.7881 acc1=29.69
train step=7260 loss=3.3887 avg_loss=4.7842 acc1=34.38
train step=7280 loss=3.1594 avg_loss=4.7802 acc1=34.38
train step=7300 loss=2.9822 avg_loss=4.7763 acc1=37.50
train step=7320 loss=3.3208 avg_loss=4.7724 acc1=37.50
train step=7340 loss=3.7004 avg_loss=4.7685 acc1=29.69
train step=7360 loss=3.0776 avg_loss=4.7643 acc1=34.38
train step=7380 loss=3.2869 avg_loss=4.7603 acc1=37.50
train step=7400 loss=3.2560 avg_loss=4.7568 acc1=42.19
train step=7420 loss=3.3986 avg_loss=4.7528 acc1=32.81
train step=7440 loss=3.4435 avg_loss=4.7487 acc1=26.56
train step=7460 loss=2.9225 avg_loss=4.7448 acc1=29.69
train step=7480 loss=3.4192 avg_loss=4.7408 acc1=32.81
train step=7500 loss=3.4553 avg_loss=4.7369 acc1=29.69
train step=7520 loss=3.3829 avg_loss=4.7329 acc1=42.19
train step=7540 loss=2.9200 avg_loss=4.7290 acc1=51.56
train step=7560 loss=2.8175 avg_loss=4.7250 acc1=40.62
train step=7580 loss=3.2970 avg_loss=4.7209 acc1=35.94
train step=7600 loss=3.2009 avg_loss=4.7169 acc1=42.19
train step=7620 loss=2.7476 avg_loss=4.7129 acc1=37.50
train step=7640 loss=2.7634 avg_loss=4.7089 acc1=37.50
train step=7660 loss=2.6074 avg_loss=4.7050 acc1=50.00
train step=7680 loss=3.2347 avg_loss=4.7011 acc1=32.81
train step=7700 loss=3.3589 avg_loss=4.6971 acc1=32.81
train step=7720 loss=3.2621 avg_loss=4.6933 acc1=29.69
train step=7740 loss=3.0869 avg_loss=4.6896 acc1=34.38
train step=7760 loss=3.2229 avg_loss=4.6861 acc1=34.38
train step=7780 loss=2.9940 avg_loss=4.6825 acc1=35.94
